IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
543,37.1779600,55.7241500,5,60,0,0
551,37.1856300,55.9637000,5,60,0,0
560,37.1956000,56.0188100,5,60,1,126
563,37.2045100,56.0118300,1,60,2,30
570,37.2103700,55.9820800,5,40,1,45
598,37.2688100,55.6483700,5,60,0,0
602,37.2839600,55.7439200,1,60,1,90
615,37.3042300,55.7459400,1,60,1,225
626,37.3200200,55.9707700,5,60,0,0
630,37.3296600,55.6988900,5,60,2,135
651,37.3527500,55.6381400,5,60,2,45
655,37.3558000,55.9296400,5,60,0,0
674,37.3768500,55.7668200,5,60,1,310
677,37.3824500,55.7234200,1,60,0,0
686,37.3870800,55.8055300,1,100,1,20
691,37.3894400,55.8122200,1,100,2,100
692,37.3905200,55.7080800,1,100,1,147
693,37.3911000,55.8084000,1,60,0,0
694,37.3917700,55.7595800,1,80,1,311
696,37.3924600,55.8137100,5,60,1,290
729,37.4199100,55.7459800,5,80,1,310
739,37.4325900,55.8752200,1,40,2,295
753,37.4499400,55.8776600,1,60,1,149
803,37.4868400,55.8882400,1,100,0,0
842,37.5050400,55.7123700,5,60,2,344
870,37.5181000,55.7627000,5,60,0,0
878,37.5205000,55.9006000,5,60,0,0
907,37.5331000,55.7077200,5,60,1,135
910,37.5338300,55.7666700,5,60,1,135
914,37.5350300,55.7259800,5,60,0,0
956,37.5484600,55.7021300,5,60,1,37
963,37.5540700,55.7443700,5,60,2,80
966,37.5546600,55.7760400,5,80,1,202
984,37.5636200,55.6488900,5,60,1,45
996,37.5710200,55.7510900,5,60,2,325
1007,37.5742700,55.7529000,5,60,0,0
1018,37.5763600,55.6929300,5,60,1,5
1033,37.5861500,55.8983100,5,60,1,180
1053,37.6001100,55.7711000,5,60,1,50
1061,37.6025500,55.7447200,5,0,0,0
1065,37.6055700,55.8739700,5,60,1,55
1067,37.6049400,55.8838600,5,60,2,47
1087,37.6172200,55.7798100,5,60,1,170
1118,37.6302300,55.8141500,5,40,1,45
1124,37.6336900,55.7816500,5,60,2,16
1135,37.6435900,55.8278000,5,0,0,0
1136,37.6453900,55.8215800,5,60,1,270
1145,37.6485700,55.7561700,5,60,0,0
1156,37.6580000,55.7582200,1,60,1,1
1160,37.6612400,55.8876400,5,60,2,275
1163,37.6641000,55.7887300,5,60,0,0
1168,37.6698600,55.9130900,5,90,2,165
1177,37.6088700,55.7620900,5,60,1,325
1195,37.6932500,55.7550200,5,60,2,325
1197,37.6960300,55.8944400,1,100,2,190
1201,37.6988500,55.7491200,5,80,1,345
1208,37.7104700,55.8901800,1,100,1,315
1214,37.7153000,55.7774500,5,60,0,0
1222,37.7290100,55.6922500,5,0,2,310
1261,37.7550700,55.6540900,5,60,1,147
1262,37.7581700,55.6508300,5,60,1,236
1263,37.7593000,55.6503500,5,60,1,56
1264,37.7618800,55.6066800,1,100,2,136
1269,37.7645100,55.6544700,5,60,2,325
1296,37.8040800,55.9307400,5,60,1,33
1298,37.8125800,55.8294400,5,60,2,60
1304,37.8211900,55.6908000,1,60,2,306
1308,37.8242700,55.6570800,1,60,1,92
1309,37.8251600,55.8294200,1,60,2,45
1315,37.8289100,55.6877400,1,60,1,315
1321,37.8368500,55.6702300,1,100,2,259
1324,37.8380100,55.6385500,5,60,0,0
1328,37.8397100,55.6626800,1,100,1,356
1330,37.8395700,55.8048000,1,100,2,266
1469,38.2354900,55.4323900,5,60,1,284
2208,37.6642000,55.8552100,5,60,2,135
2209,37.6668600,55.8535000,5,60,2,135
2213,37.1571800,55.7814800,5,110,1,100
2214,37.6199900,55.8919800,5,60,1,315
2216,37.6987600,55.9701900,5,90,2,90
2217,37.3647500,55.7911100,5,110,1,110
2219,37.6852500,55.7638900,5,0,1,200
2221,37.1962300,55.6602500,5,90,1,85
2222,37.2608100,55.6693000,5,60,1,60
2223,37.5788800,55.8357800,5,60,1,0
2228,37.5641200,55.7441800,5,60,0,0
2237,37.6915100,55.8111600,5,60,1,320
2256,37.4914700,55.7315600,5,80,1,72
2279,37.5568500,55.7639200,5,60,1,283
2281,37.5459200,55.7285200,5,60,1,76
2282,37.5860400,55.8980900,5,60,2,90
2283,37.5972600,55.8725300,5,60,1,245
2286,37.6599400,55.6661100,5,60,1,25
2289,37.6926800,55.9697600,5,90,2,262
2290,37.7272700,55.9922100,5,90,2,6
2291,37.6818900,56.0002800,5,90,2,282
2292,37.6982300,55.7865200,5,60,1,180
2295,37.4222000,55.7108600,5,60,1,7
2296,37.4270000,55.6904800,5,60,1,160
2297,37.4316000,55.5533300,5,60,1,40
2335,37.5966200,55.8723700,5,60,1,67
2336,37.6115000,55.8751200,5,60,1,82
2337,37.7401100,55.6595400,5,0,1,180
2359,37.4387000,55.5611600,5,60,2,37
2360,37.4672500,55.5812700,5,60,0,0
2365,37.5415100,55.6256400,5,40,1,168
2368,37.4843200,55.6471800,5,60,1,125
2370,37.3337000,55.6935600,5,60,2,31
2372,37.4067700,55.6995300,5,60,2,44
2376,37.4490400,55.7240000,5,60,1,347
2382,37.1822500,55.9701300,5,60,1,90
2383,37.1839500,55.9701700,5,60,1,347
2384,37.2032200,55.9811400,5,40,2,87
2386,37.6021300,55.5658700,5,60,2,335
2396,37.4481100,55.7228600,5,60,1,335
2399,37.4464200,55.7300200,5,60,1,347
2401,37.4932400,55.7325100,5,60,1,161
2411,37.3438600,55.6340300,5,60,1,262
2428,37.6214300,55.7781600,5,60,1,29
2429,37.6166900,55.7881000,5,40,1,357
2433,37.9470100,55.6299500,5,60,1,152
2435,37.5474000,55.6995100,5,60,1,135
2437,37.7479700,55.8947300,5,60,2,39
2448,37.8147700,55.9482500,5,60,1,192
2453,37.6244200,55.7497700,5,50,1,261
2454,37.4912400,55.8267900,5,80,1,157
2455,37.5430200,55.9056600,1,60,0,0
2456,37.3487100,55.9513200,5,60,1,115
2457,37.3792800,55.9736300,5,60,1,226
2458,37.3919100,55.9788600,5,60,1,67
2464,37.8044100,55.9306100,5,60,1,277
2465,37.5961200,55.5794500,1,40,2,5
2521,37.8982900,55.8268100,1,40,2,75
2523,37.9841300,55.8938500,1,60,2,318
2531,37.7661800,55.5262000,5,60,1,21
2536,37.3230100,55.6804100,1,60,0,0
2537,37.8168800,55.6925400,1,60,1,126
2542,37.6121900,55.7489200,1,60,0,0
2546,37.6266800,55.7605300,5,60,0,0
2547,37.6275500,55.7615100,1,60,0,0
2548,37.6287500,55.7631100,5,60,1,24
2552,37.3776700,55.9314200,5,60,1,322
2565,37.6261100,55.7734700,5,60,1,98
2578,37.4220000,55.6295500,5,60,0,0
2616,37.5287400,55.6007500,5,60,1,201
2620,37.4725400,55.6294700,1,60,0,0
2622,37.5947800,55.6447300,5,60,1,7
2623,37.4864700,55.6666800,5,60,1,51
2628,37.3582400,55.9450700,5,60,1,142
2630,37.2104300,56.0133200,5,90,1,306
2632,37.1562100,56.0470000,5,60,2,341
2664,37.5845400,55.7923500,5,60,0,0
2666,37.6384600,55.7644200,5,60,1,131
2718,37.3461500,55.6151700,5,40,1,321
2721,37.3414800,55.6337500,5,60,1,86
2723,37.3379600,55.6578200,5,60,1,114
2725,37.4401300,55.6646700,1,40,2,34
2727,37.4863200,55.6668000,5,60,1,232
2729,37.4262000,55.6868000,5,60,1,58
2730,37.4276700,55.6872600,5,60,1,255
2731,37.5461800,55.7012900,5,60,1,218
